;STN De Bilt 260;YYYYMMDD;TX;;;
;260;20191027;133;124.2857143;;
;260;20191028;130;;;
;260;20191029;121;;;
;260;20191030;104;;;
;260;20191031;101;;;
;260;20191101;134;;;
;260;20191102;147;;;
;260;20191103;125;110.4285714;;
;260;20191104;125;;;
;260;20191105;109;;;
;260;20191106;114;;;
;260;20191107;96;;;
;260;20191108;97;;;
;260;20191109;107;;;
;260;20191110;94;74.57142857;;
;260;20191111;79;;;
;260;20191112;73;;;
;260;20191113;80;;;
;260;20191114;78;;;
;260;20191115;56;;;
;260;20191116;62;;;
;260;20191117;81;78.71428571;;
;260;20191118;83;;;
;260;20191119;77;;;
;260;20191120;66;;;
;260;20191121;55;;;
;260;20191122;107;;;
;260;20191123;82;;;
;260;20191124;99;103.7142857;;
;260;20191125;106;;;
;260;20191126;115;;;
;260;20191127;119;;;
;260;20191128;107;;;
;260;20191129;88;;;
;260;20191130;92;;;
;260;20191201;40;75.28571429;;
;260;20191202;95;;;
;260;20191203;82;;;
;260;20191204;69;;;
;260;20191205;43;;;
;260;20191206;97;;;
;260;20191207;101;;;
;260;20191208;109;79.71428571;;
;260;20191209;85;;;
;260;20191210;76;;;
;260;20191211;78;;;
;260;20191212;58;;;
;260;20191213;71;;;
;260;20191214;81;;;
;260;20191215;88;107.5714286;;
;260;20191216;86;;;
;260;20191217;147;;;
;260;20191218;87;;;
;260;20191219;135;;;
;260;20191220;125;;;
;260;20191221;85;;;
;260;20191222;91;77.57142857;;
;260;20191223;92;;;
;260;20191224;104;;;
;260;20191225;94;;;
;260;20191226;69;;;
;260;20191227;63;;;
;260;20191228;30;;;
;260;20191229;34;67.57142857;;
;260;20191230;79;;;
;260;20191231;88;;;
;260;20200101;18;;;
;260;20200102;74;;;
;260;20200103;99;;;
;260;20200104;81;;;
;260;20200105;76;92.71428571;;
;260;20200106;70;;;
;260;20200107;83;;;
;260;20200108;117;;;
;260;20200109;130;;;
;260;20200110;99;;;
;260;20200111;74;;;
;260;20200112;101;105.5714286;;
;260;20200113;107;;;
;260;20200114;129;;;
;260;20200115;121;;;
;260;20200116;102;;;
;260;20200117;102;;;
;260;20200118;77;;;
;260;20200119;82;52;;
;260;20200120;70;;;
;260;20200121;21;;;
;260;20200122;62;;;
;260;20200123;68;;;
;260;20200124;35;;;
;260;20200125;26;;;
;260;20200126;93;98.71428571;;
;260;20200127;94;;;
;260;20200128;72;;;
;260;20200129;73;;;
;260;20200130;114;;;
;260;20200131;125;;;
;260;20200201;120;;;
;260;20200202;115;93.57142857;;
;260;20200203;110;;;
;260;20200204;73;;;
;260;20200205;84;;;
;260;20200206;96;;;
;260;20200207;78;;;
;260;20200208;99;;;
;260;20200209;125;98.57142857;;
;260;20200210;106;;;
;260;20200211;73;;;
;260;20200212;77;;;
;260;20200213;87;;;
;260;20200214;87;;;
;260;20200215;135;;;
;260;20200216;167;108;;
;260;20200217;101;;;
;260;20200218;96;;;
;260;20200219;82;;;
;260;20200220;104;;;
;260;20200221;89;;;
;260;20200222;117;;;
;260;20200223;129;93.57142857;;
;260;20200224;108;;;
;260;20200225;103;;;
;260;20200226;66;;;
;260;20200227;39;;;
;260;20200228;84;;;
;260;20200229;126;;;
;260;20200301;92;88.85714286;;
;260;20200302;78;;;
;260;20200303;88;;;
;260;20200304;105;;;
;260;20200305;68;;;
;260;20200306;85;;;
;260;20200307;106;;;
;260;20200308;102;111.4285714;;
;260;20200309;106;;;
;260;20200310;119;;;
;260;20200311;135;;;
;260;20200312;110;;;
;260;20200313;90;;;
;260;20200314;118;;;
;260;20200315;112;113.4285714;;
;260;20200316;130;;;
;260;20200317;133;;;
;260;20200318;137;;;
;260;20200319;99;;;
;260;20200320;91;;;
;260;20200321;92;;;
;260;20200322;97;117.1428571;;
;260;20200323;101;;;
;260;20200324;105;;;
;260;20200325;127;;;
;260;20200326;118;;;
;260;20200327;153;;;
;260;20200328;119;;;
;260;20200329;74;103.5714286;;
;260;20200330;97;;;
;260;20200331;92;;;
;260;20200401;100;;;
;260;20200402;113;;;
;260;20200403;103;;;
;260;20200404;146;;;
;260;20200405;196;209.8571429;;
;260;20200406;230;;;
;260;20200407;193;;;
;260;20200408;245;;;
;260;20200409;205;;;
;260;20200410;185;;;
;260;20200411;215;;;
;260;20200412;230;166.2857143;;
;260;20200413;111;;;
;260;20200414;102;;;
;260;20200415;170;;;
;260;20200416;221;;;
;260;20200417;170;;;
;260;20200418;160;;;
;260;20200419;179;189;;
;260;20200420;183;;;
;260;20200421;189;;;
;260;20200422;215;;;
;260;20200423;232;;;
;260;20200424;182;;;
;260;20200425;143;;;
;260;20200426;167;154.8571429;;
;260;20200427;207;;;
;260;20200428;113;;;
;260;20200429;155;;;
;260;20200430;161;;;
;260;20200501;142;;;
;260;20200502;139;;;
;260;20200503;169;188.5714286;;
;260;20200504;152;;;
;260;20200505;148;;;
;260;20200506;168;;;
;260;20200507;207;;;
;260;20200508;229;;;
;260;20200509;247;;;
;260;20200510;225;147.7142857;;
;260;20200511;122;;;
;260;20200512;128;;;
;260;20200513;120;;;
;260;20200514;128;;;
;260;20200515;151;;;
;260;20200516;160;;;
;260;20200517;187;219.1428571;;
;260;20200518;212;;;
;260;20200519;217;;;
;260;20200520;221;;;
;260;20200521;267;;;
;260;20200522;242;;;
;260;20200523;188;;;
;260;20200524;150;208.4285714;;
;260;20200525;208;;;
;260;20200526;237;;;
;260;20200527;205;;;
;260;20200528;197;;;
;260;20200529;225;;;
;260;20200530;237;;;
;260;20200531;222;207.1428571;;
;260;20200601;254;;;
;260;20200602;275;;;
;260;20200603;228;;;
;260;20200604;170;;;
;260;20200605;143;;;
;260;20200606;158;;;
;260;20200607;160;203.2857143;;
;260;20200608;189;;;
;260;20200609;170;;;
;260;20200610;180;;;
;260;20200611;201;;;
;260;20200612;261;;;
;260;20200613;262;;;
;260;20200614;230;226;;
;260;20200615;237;;;
;260;20200616;208;;;
;260;20200617;242;;;
;260;20200618;220;;;
;260;20200619;224;;;
;260;20200620;221;;;
;260;20200621;245;267.5714286;;
;260;20200622;224;;;
;260;20200623;267;;;
;260;20200624;294;;;
;260;20200625;294;;;
;260;20200626;301;;;
;260;20200627;248;;;
;260;20200628;214;202.5714286;;
;260;20200629;190;;;
;260;20200630;194;;;
;260;20200701;211;;;
;260;20200702;212;;;
;260;20200703;216;;;
;260;20200704;181;;;
;260;20200705;213;188;;
;260;20200706;183;;;
;260;20200707;192;;;
;260;20200708;169;;;
;260;20200709;177;;;
;260;20200710;185;;;
;260;20200711;197;;;
;260;20200712;209;215.4285714;;
;260;20200713;235;;;
;260;20200714;176;;;
;260;20200715;206;;;
;260;20200716;197;;;
;260;20200717;227;;;
;260;20200718;258;;;
;260;20200719;244;222;;
;260;20200720;202;;;
;260;20200721;205;;;
;260;20200722;211;;;
;260;20200723;246;;;
;260;20200724;223;;;
;260;20200725;223;;;
;260;20200726;224;242;;
;260;20200727;239;;;
;260;20200728;206;;;
;260;20200729;202;;;
;260;20200730;251;;;
;260;20200731;320;;;
;260;20200801;252;;;
;260;20200802;216;275.4285714;;
;260;20200803;212;;;
;260;20200804;221;;;
;260;20200805;283;;;
;260;20200806;310;;;
;260;20200807;340;;;
;260;20200808;346;;;
;260;20200809;326;315.5714286;;
;260;20200810;327;;;
;260;20200811;345;;;
;260;20200812;323;;;
;260;20200813;317;;;
;260;20200814;286;;;
;260;20200815;285;;;
;260;20200816;304;265.5714286;;
;260;20200817;254;;;
;260;20200818;240;;;
;260;20200819;272;;;
;260;20200820;280;;;
;260;20200821;285;;;
;260;20200822;224;;;
;260;20200823;213;201.7142857;;
;260;20200824;207;;;
;260;20200825;212;;;
;260;20200826;184;;;
;260;20200827;198;;;
;260;20200828;210;;;
;260;20200829;188;;;
;260;20200830;186;195.2857143;;
;260;20200831;183;;;
;260;20200901;176;;;
;260;20200902;217;;;
;260;20200903;207;;;
;260;20200904;210;;;
;260;20200905;188;;;
;260;20200906;193;198.7142857;;
;260;20200907;210;;;
;260;20200908;190;;;
;260;20200909;209;;;
;260;20200910;198;;;
;260;20200911;200;;;
;260;20200912;191;;;
;260;20200913;225;242.1428571;;
;260;20200914;285;;;
;260;20200915;314;;;
;260;20200916;235;;;
;260;20200917;190;;;
;260;20200918;213;;;
;260;20200919;233;;;
;260;20200920;228;201;;
;260;20200921;253;;;
;260;20200922;236;;;
;260;20200923;218;;;
;260;20200924;175;;;
;260;20200925;135;;;
;260;20200926;162;;;
;260;20200927;163;162.8571429;;
;260;20200928;137;;;
;260;20200929;193;;;
;260;20200930;184;;;
;260;20201001;156;;;
;260;20201002;160;;;
;260;20201003;147;;;
;260;20201004;148;147.2857143;;
;260;20201005;144;;;
;260;20201006;148;;;
;260;20201007;150;;;
;260;20201008;159;;;
;260;20201009;153;;;
;260;20201010;129;;;
;260;20201011;137;127.8571429;;
;260;20201012;145;;;
;260;20201013;128;;;
;260;20201014;123;;;
;260;20201015;115;;;
;260;20201016;122;;;
;260;20201017;125;;;
;260;20201018;134;156.4285714;;
;260;20201019;132;;;
;260;20201020;144;;;
;260;20201021;203;;;
;260;20201022;161;;;
;260;20201023;159;;;
;260;20201024;162;;;
;260;20201025;159;140.7142857;;
;260;20201026;127;;;
;260;20201027;120;;;
;260;20201028;130;;;
;260;20201029;137;;;
;260;20201030;157;;;
;260;20201031;155;;;
;260;20201101;176;143.4285714;;
;260;20201102;193;;;
;260;20201103;129;;;
;260;20201104;128;;;
;260;20201105;128;;;
;260;20201106;124;;;
;260;20201107;126;;;
;260;20201108;132;143.2857143;;
;260;20201109;169;;;
;260;20201110;164;;;
;260;20201111;130;;;
;260;20201112;132;;;
;260;20201113;129;;;
;260;20201114;147;;;
;260;20201115;156;123;;
;260;20201116;123;;;
;260;20201117;129;;;
;260;20201118;149;;;
;260;20201119;117;;;
;260;20201120;85;;;
;260;20201121;102;;;
;260;20201122;116;92.14285714;;
;260;20201123;106;;;
;260;20201124;102;;;
;260;20201125;92;;;
;260;20201126;98;;;
;260;20201127;75;;;
;260;20201128;56;;;
;260;20201129;37;68.71428571;;
;260;20201130;84;;;
;260;20201201;98;;;
;260;20201202;64;;;
;260;20201203;62;;;
;260;20201204;80;;;
;260;20201205;56;;;
;260;20201206;42;48.28571429;;
;260;20201207;55;;;
;260;20201208;48;;;
;260;20201209;31;;;
;260;20201210;29;;;
;260;20201211;44;;;
;260;20201212;89;;;
;260;20201213;79;103.4285714;;
;260;20201214;116;;;
;260;20201215;104;;;
;260;20201216;97;;;
;260;20201217;103;;;
;260;20201218;110;;;
;260;20201219;115;;;
;260;20201220;99;100;;
;260;20201221;131;;;
;260;20201222;131;;;
;260;20201223;123;;;
;260;20201224;91;;;
;260;20201225;66;;;
;260;20201226;59;;;
;260;20201227;59;54.42857143;;
;260;20201228;54;;;
;260;20201229;58;;;
;260;20201230;68;;;
;260;20201231;40;;;
;260;20210101;57;;;
;260;20210102;45;;;
;260;20210103;40;;;
;260;20210104;36;;;
;260;20210105;36;;;
;260;20210106;32;;;
;260;20210107;41;;;
;260;20210108;44;;;
;260;20210109;65;;;
;260;20210110;52;;;
;260;20210111;70;;;
;260;20210112;83;;;
;260;20210113;62;;;
;260;20210114;36;;;
;260;20210115;24;;;
;260;20210116;20;;;
;260;20210117;79;;;
;260;20210118;66;;;
;260;20210119;105;;;
;260;20210120;109;;;
;260;20210121;120;;;
;260;20210122;66;;;
;260;20210123;52;;;
;260;20210124;53;;;
;260;20210125;60;;;
;260;20210126;70;;;
;260;20210127;71;;;
;260;20210128;67;;;
;260;20210129;101;;;
;260;20210130;22;;;
;260;20210131;24;;;
;260;20210201;22;;;
;260;20210202;99;;;
;260;20210203;100;;;
;260;20210204;84;;;
;260;20210205;92;;;
;260;20210206;66;;;
;260;20210207;-15;;;
;260;20210208;-48;;;
;260;20210209;-10;;;
;260;20210210;-6;;;
;260;20210211;-1;;;
;260;20210212;-29;;;
;260;20210213;-6;;;
;260;20210214;30;;;
;260;20210215;49;;;
;260;20210216;110;;;
;260;20210217;115;;;
;260;20210218;114;;;
;260;20210219;105;;;
;260;20210220;159;;;
;260;20210221;169;;;
;260;20210222;162;;;
;260;20210223;178;;;
;260;20210224;187;;;
;260;20210225;165;;;
;260;20210226;106;;;
;260;20210227;98;;;
;260;20210228;106;;;
;260;20210301;110;;;
;260;20210302;145;;;
;260;20210303;99;;;
;260;20210304;58;;;
;260;20210305;66;;;
;260;20210306;70;;;
;260;20210307;56;;;
;260;20210308;88;;;
;260;20210309;70;;;
;260;20210310;98;;;
;260;20210311;120;;;
;260;20210312;85;;;
;260;20210313;89;;;
;260;20210314;88;;;
;260;20210315;86;;;
;260;20210316;76;;;
;260;20210317;80;;;
;260;20210318;86;;;
;260;20210319;95;;;
;260;20210320;88;;;
;260;20210321;74;;;
;260;20210322;83;;;
;260;20210323;102;;;
;260;20210324;144;;;
;260;20210325;131;;;
;260;20210326;140;;;
;260;20210327;94;;;
;260;20210328;129;;;
;260;20210329;188;;;
;260;20210330;213;;;
;260;20210331;238;;;
;260;20210401;132;;;
;260;20210402;76;;;
;260;20210403;108;;;
;260;20210404;96;;;
;260;20210405;85;;;
;260;20210406;57;;;
;260;20210407;72;;;
;260;20210408;92;;;
;260;20210409;124;;;
;260;20210410;76;;;
;260;20210411;79;;;
;260;20210412;83;;;
;260;20210413;96;;;
;260;20210414;96;;;
;260;20210415;97;;;
;260;20210416;125;;;
;260;20210417;121;;;
;260;20210418;156;;;
;260;20210419;146;;;
;260;20210420;175;;;
;260;20210421;127;;;
;260;20210422;118;;;
;260;20210423;135;;;
;260;20210424;135;;;
;260;20210425;109;;;
;260;20210426;125;;;
;260;20210427;157;;;
;260;20210428;178;;;
;260;20210429;92;;;
;260;20210430;103;;;
;260;20210501;127;;;
;260;20210502;110;;;
;260;20210503;139;;;
;260;20210504;109;;;
;260;20210505;108;;;
;260;20210506;104;;;
;260;20210507;118;;;
;260;20210508;164;;;
;260;20210509;249;;;
;260;20210510;194;;;
;260;20210511;171;;;
;260;20210512;176;;;
;260;20210513;191;;;
;260;20210514;159;;;
;260;20210515;136;;;
;260;20210516;149;;;
;260;20210517;148;;;
;260;20210518;164;;;
;260;20210519;144;;;
;260;20210520;158;;;
;260;20210521;167;;;
;260;20210522;125;;;
;260;20210523;149;;;
;260;20210524;148;;;
;260;20210525;142;;;
;260;20210526;140;;;
;260;20210527;135;;;
;260;20210528;191;;;
;260;20210529;172;;;
;260;20210530;214;;;
;260;20210531;230;;;
;260;20210601;252;;;
;260;20210602;273;;;
;260;20210603;253;;;
;260;20210604;257;;;
;260;20210605;186;;;
;260;20210606;214;;;
;260;20210607;224;;;
;260;20210608;255;;;
;260;20210609;256;;;
;260;20210610;268;;;
;260;20210611;240;;;
;260;20210612;206;;;
;260;20210613;236;;;
;260;20210614;274;;;
;260;20210615;231;;;
;260;20210616;289;;;
;260;20210617;308;;;
;260;20210618;295;;;
;260;20210619;203;;;
;260;20210620;225;;;
;260;20210621;162;;;
;260;20210622;179;;;
;260;20210623;172;;;
;260;20210624;191;;;
;260;20210625;187;;;
;260;20210626;249;;;
;260;20210627;270;;;
;260;20210628;244;;;
;260;20210629;207;;;
;260;20210630;161;;;
;260;20210701;170;;;
;260;20210702;219;;;
;260;20210703;234;;;
;260;20210704;230;;;
;260;20210705;191;;;
;260;20210706;209;;;
;260;20210707;218;;;
;260;20210708;230;;;
;260;20210709;238;;;
;260;20210710;228;;;
;260;20210711;234;;;
;260;20210712;252;;;
;260;20210713;206;;;
;260;20210714;210;;;
;260;20210715;186;;;
;260;20210716;217;;;
;260;20210717;247;;;
;260;20210718;266;;;
;260;20210719;228;;;
;260;20210720;239;;;
;260;20210721;259;;;
;260;20210722;229;;;
;260;20210723;212;;;
;260;20210724;223;;;
;260;20210725;258;;;
;260;20210726;228;;;
;260;20210727;221;;;
;260;20210728;207;;;
;260;20210729;215;;;
;260;20210730;214;;;
;260;20210731;200;;;
;260;20210801;193;;;
;260;20210802;196;;;
;260;20210803;186;;;
;260;20210804;214;;;
;260;20210805;233;;;
;260;20210806;219;;;
;260;20210807;223;;;
;260;20210808;198;;;
;260;20210809;205;;;
;260;20210810;222;;;
;260;20210811;236;;;
;260;20210812;252;;;
;260;20210813;214;;;
;260;20210814;229;;;
;260;20210815;247;;;
;260;20210816;179;;;
;260;20210817;168;;;
;260;20210818;200;;;
;260;20210819;182;;;
;260;20210820;225;;;
;260;20210821;233;;;
;260;20210822;202;;;
;260;20210823;220;;;
;260;20210824;217;;;
;260;20210825;213;;;
;260;20210826;196;;;
;260;20210827;194;;;
;260;20210828;202;;;
;260;20210829;172;;;
;260;20210830;213;;;
;260;20210831;198;;;
;260;20210901;186;;;
;260;20210902;212;;;
;260;20210903;227;;;
;260;20210904;211;;;
;260;20210905;234;;;
;260;20210906;243;;;
;260;20210907;260;;;
;260;20210908;269;;;
;260;20210909;264;;;
;260;20210910;234;;;
;260;20210911;208;;;
;260;20210912;215;;;
;260;20210913;188;;;
;260;20210914;224;;;
;260;20210915;200;;;
;260;20210916;203;;;
;260;20210917;211;;;
;260;20210918;223;;;
;260;20210919;207;;;
;260;20210920;173;;;
;260;20210921;194;;;
;260;20210922;209;;;
;260;20210923;194;;;
;260;20210924;216;;;
;260;20210925;219;;;
;260;20210926;237;;;
;260;20210927;208;;;
;260;20210928;192;;;
;260;20210929;154;;;
;260;20210930;141;;;
;260;20211001;160;;;
;260;20211002;168;;;
;260;20211003;166;;;
;260;20211004;177;;;
;260;20211005;165;;;
;260;20211006;163;;;
;260;20211007;156;;;
;260;20211008;179;;;
;260;20211009;164;;;
;260;20211010;164;;;
;260;20211011;160;;;
;260;20211012;142;;;
;260;20211013;141;;;
;260;20211014;162;;;
;260;20211015;148;;;
;260;20211016;138;;;
;260;20211017;143;;;
;260;20211018;145;;;
;260;20211019;194;;;
;260;20211020;180;;;
;260;20211021;146;;;
;260;20211022;128;;;
;260;20211023;121;;;
;260;20211024;133;;;
;260;20211025;130;;;
;260;20211026;147;;;
;260;20211027;167;;;
;260;20211028;164;;;
;260;20211029;178;;;
;260;20211030;141;;;
;260;20211031;153;;;
;260;20211101;130;;;
;260;20211102;98;;;
;260;20211103;93;;;
;260;20211104;116;;;
;260;20211105;126;;;
;260;20211106;115;;;
;260;20211107;123;;;
;260;20211108;124;;;
;260;20211109;113;;;
;260;20211110;104;;;
;260;20211111;109;;;
;260;20211112;95;;;
;260;20211113;133;;;
;260;20211114;105;;;
;260;20211115;88;;;
;260;20211116;59;;;
;260;20211117;121;;;
;260;20211118;118;;;
;260;20211119;142;;;
;260;20211120;110;;;
;260;20211121;110;;;
;260;20211122;92;;;
;260;20211123;111;;;
;260;20211124;75;;;
;260;20211125;92;;;
;260;20211126;56;;;
;260;20211127;38;;;
;260;20211128;42;;;
;260;20211129;75;;;
;260;20211130;104;;;
;260;20211201;106;;;
;260;20211202;52;;;
;260;20211203;47;;;
;260;20211204;57;;;
;260;20211205;54;;;
;260;20211206;39;;;
;260;20211207;60;;;
;260;20211208;70;;;
;260;20211209;54;;;
;260;20211210;48;;;
;260;20211211;86;;;
;260;20211212;111;;;
;260;20211213;106;;;
;260;20211214;101;;;
;260;20211215;110;;;
;260;20211216;118;;;
;260;20211217;86;;;
;260;20211218;79;;;
;260;20211219;73;;;
;260;20211220;73;;;
;260;20211221;47;;;
;260;20211222;0;;;
;260;20211223;77;;;
;260;20211224;100;;;
;260;20211225;40;;;
;260;20211226;24;;;
;260;20211227;90;;;
;260;20211228;107;;;
;260;20211229;121;;;
;260;20211230;139;;;
;260;20211231;144;;;
;260;20220101;132;;;
;260;20220102;130;;;
;260;20220103;110;;;
;260;20220104;89;;;
;260;20220105;76;;;
;260;20220106;65;;;
;260;20220107;67;;;
;260;20220108;62;;;
;260;20220109;77;;;
;260;20220110;69;;;
;260;20220111;52;;;
;260;20220112;50;;;
;260;20220113;53;;;
;260;20220114;60;;;
;260;20220115;43;;;
;260;20220116;73;;;
;260;20220117;91;;;
;260;20220118;64;;;
;260;20220119;71;;;
;260;20220120;61;;;
;260;20220121;70;;;
;260;20220122;76;;;
;260;20220123;73;;;
;260;20220124;57;;;
;260;20220125;38;;;
;260;20220126;60;;;
;260;20220127;96;;;
;260;20220128;90;;;
;260;20220129;117;;;
;260;20220130;84;;;
;260;20220131;71;;;
;260;20220201;99;;;
;260;20220202;107;;;
;260;20220203;85;;;
;260;20220204;91;;;
;260;20220205;81;;;
;260;20220206;94;;;
;260;20220207;83;;;
;260;20220208;125;;;
;260;20220209;100;;;
;260;20220210;85;;;
;260;20220211;77;;;
;260;20220212;73;;;
;260;20220213;103;;;
;260;20220214;114;;;
;260;20220215;92;;;
;260;20220216;132;;;
;260;20220217;124;;;
;260;20220218;123;;;
;260;20220219;84;;;
;260;20220220;107;;;
;260;20220221;82;;;
;260;20220222;105;;;
;260;20220223;113;;;
;260;20220224;101;;;
;260;20220225;86;;;
;260;20220226;87;;;
;260;20220227;92;;;
;260;20220228;95;;;
;260;20220301;83;;;
;260;20220302;117;;;
;260;20220303;117;;;
;260;20220304;110;;;
;260;20220305;87;;;
;260;20220306;64;;;
;260;20220307;77;;;
;260;20220308;101;;;
;260;20220309;132;;;
;260;20220310;153;;;
;260;20220311;144;;;
;260;20220312;151;;;
;260;20220313;165;;;
;260;20220314;135;;;
;260;20220315;141;;;
;260;20220316;132;;;
;260;20220317;118;;;
;260;20220318;153;;;
;260;20220319;141;;;
;260;20220320;87;;;
;260;20220321;163;;;
;260;20220322;196;;;
;260;20220323;193;;;
;260;20220324;183;;;
;260;20220325;167;;;
;260;20220326;174;;;
;260;20220327;164;;;
;260;20220328;143;;;
;260;20220329;140;;;
;260;20220330;106;;;
;260;20220331;45;;;
;260;20220401;47;;;
;260;20220402;63;;;
;260;20220403;85;;;
;260;20220404;107;;;
;260;20220405;119;;;
;260;20220406;107;;;
;260;20220407;113;;;
;260;20220408;88;;;
;260;20220409;96;;;
;260;20220410;119;;;
;260;20220411;150;;;
;260;20220412;206;;;
;260;20220413;166;;;
;260;20220414;187;;;
;260;20220415;126;;;
;260;20220416;165;;;
;260;20220417;176;;;
;260;20220418;193;;;
;260;20220419;191;;;
;260;20220420;177;;;
;260;20220421;181;;;
;260;20220422;178;;;
;260;20220423;187;;;
;260;20220424;175;;;
;260;20220425;105;;;
;260;20220426;138;;;
;260;20220427;136;;;
;260;20220428;152;;;
;260;20220429;131;;;
;260;20220430;125;;;
;260;20220501;156;;;
;260;20220502;177;;;
;260;20220503;159;;;
;260;20220504;161;;;
;260;20220505;194;;;
;260;20220506;210;;;
;260;20220507;206;;;
;260;20220508;170;;;
;260;20220509;227;;;
;260;20220510;238;;;
;260;20220511;211;;;
;260;20220512;194;;;
;260;20220513;183;;;
;260;20220514;217;;;
;260;20220515;250;;;
;260;20220516;245;;;
;260;20220517;252;;;
;260;20220518;247;;;
;260;20220519;230;;;
;260;20220520;201;;;
;260;20220521;176;;;
;260;20220522;214;;;
;260;20220523;219;;;
;260;20220524;175;;;
;260;20220525;178;;;
;260;20220526;190;;;
;260;20220527;159;;;
;260;20220528;162;;;
;260;20220529;142;;;
;260;20220530;147;;;
;260;20220531;182;;;
;260;20220601;165;;;
;260;20220602;196;;;
;260;20220603;237;;;
;260;20220604;227;;;
;260;20220605;214;;;
;260;20220606;181;;;
;260;20220607;196;;;
;260;20220608;188;;;
;260;20220609;202;;;
;260;20220610;221;;;
;260;20220611;219;;;
;260;20220612;210;;;
;260;20220613;182;;;
;260;20220614;211;;;
;260;20220615;239;;;
;260;20220616;244;;;
;260;20220617;289;;;
;260;20220618;270;;;
;260;20220619;176;;;
;260;20220620;191;;;
;260;20220621;222;;;
;260;20220622;252;;;
;260;20220623;298;;;
;260;20220624;234;;;
;260;20220625;230;;;
;260;20220626;208;;;
;260;20220627;199;;;
;260;20220628;230;;;
;260;20220629;269;;;
;260;20220630;236;;;
;260;20220701;205;;;
;260;20220702;239;;;
;260;20220703;211;;;
;260;20220704;221;;;
;260;20220705;207;;;
;260;20220706;217;;;
;260;20220707;189;;;
;260;20220708;235;;;
;260;20220709;217;;;
;260;20220710;211;;;
;260;20220711;234;;;
;260;20220712;268;;;
;260;20220713;272;;;
;260;20220714;225;;;
;260;20220715;220;;;
;260;20220716;216;;;
;260;20220717;260;;;
;260;20220718;322;;;
;260;20220719;355;;;
;260;20220720;277;;;
;260;20220721;198;;;
;260;20220722;207;;;
;260;20220723;251;;;
;260;20220724;294;;;
;260;20220725;245;;;
;260;20220726;202;;;
;260;20220727;209;;;
;260;20220728;223;;;
;260;20220729;245;;;
;260;20220730;244;;;
;260;20220731;220;;;
;260;20220801;228;;;
;260;20220802;277;;;
;260;20220803;295;;;
;260;20220804;264;;;
;260;20220805;216;;;
;260;20220806;227;;;
;260;20220807;231;;;
;260;20220808;234;;;
;260;20220809;257;;;
;260;20220810;300;;;
;260;20220811;316;;;
;260;20220812;323;;;
;260;20220813;310;;;
;260;20220814;322;;;
;260;20220815;262;;;
;260;20220816;274;;;
;260;20220817;212;;;
;260;20220818;243;;;
;260;20220819;242;;;
;260;20220820;239;;;
;260;20220821;245;;;
;260;20220822;258;;;
;260;20220823;285;;;
;260;20220824;302;;;
;260;20220825;326;;;
;260;20220826;209;;;
;260;20220827;223;;;
;260;20220828;220;;;
;260;20220829;225;;;
;260;20220830;235;;;
;260;20220831;238;;;
;260;20220901;247;;;
;260;20220902;260;;;
;260;20220903;268;;;
;260;20220904;269;;;
;260;20220905;297;;;
;260;20220906;272;;;
;260;20220907;244;;;
;260;20220908;223;;;
;260;20220909;182;;;
;260;20220910;212;;;
;260;20220911;226;;;
;260;20220912;244;;;
;260;20220913;227;;;
;260;20220914;203;;;
;260;20220915;197;;;
;260;20220916;162;;;
;260;20220917;169;;;
;260;20220918;133;;;
;260;20220919;166;;;
;260;20220920;166;;;
;260;20220921;180;;;
;260;20220922;190;;;
;260;20220923;180;;;
;260;20220924;146;;;
;260;20220925;174;;;
;260;20220926;135;;;
;260;20220927;112;;;
;260;20220928;149;;;
;260;20220929;158;;;
;260;20220930;172;;;
;260;20221001;180;;;
;260;20221002;183;;;
;260;20221003;174;;;
;260;20221004;184;;;
;260;20221005;183;;;
;260;20221006;174;;;
;260;20221007;171;;;
;260;20221008;161;;;
;260;20221009;165;;;
;260;20221010;157;;;
;260;20221011;167;;;
;260;20221012;155;;;
;260;20221013;149;;;
;260;20221014;161;;;
;260;20221015;164;;;
;260;20221016;178;;;
;260;20221017;178;;;
;260;20221018;182;;;
;260;20221019;146;;;
;260;20221020;156;;;
;260;20221021;197;;;
;260;20221022;182;;;
;260;20221023;186;;;
;260;20221024;167;;;
;260;20221025;172;;;
;260;20221026;194;;;
;260;20221027;194;;;
;260;20221028;205;;;
;260;20221029;211;;;
;260;20221030;202;;;
;260;20221031;162;;;
;260;20221101;169;;;
;260;20221102;147;;;
;260;20221103;162;;;
;260;20221104;125;;;
;260;20221105;123;;;
;260;20221106;126;;;
;260;20221107;143;;;
;260;20221108;154;;;
;260;20221109;141;;;
;260;20221110;147;;;
;260;20221111;129;;;
;260;20221112;162;;;
;260;20221113;161;;;
;260;20221114;93;;;
;260;20221115;127;;;
;260;20221116;123;;;
;260;20221117;112;;;
;260;20221118;105;;;
;260;20221119;38;;;
